1	J96_5	text	P	The following supplementary subclassification is provided for optional use with subcategories in J96.- :	!!!
2	I70M10_4	text	l	The following supplementary classification to indicate the presence or absence of gangrene is provided for optional use with appropriate subcategories in I70.	!!!
3	S04E10_4	text	P	The following fourth-character subdivisions are for use with categories E10-E14:	Sljedeće četvorocifrene šifre koristite sa kategorijama E10-E14:
4	S05F10_4	text	P	The following fourth-character subdivisions are for use with categories F10-F19:	Sljedeće četvorocifrene šifre koristite sa kategorijama F10-F19:
5	S05F70_4	text	P	The following fourth-character subdivisions are for use with categories F70-F79 to identify the extent of impairment of behaviour:	Sljedeće četvorocifrene šifre koristite sa kategorijama F70-F79 da bi označili stepen oštećenja ponašanja:
6	S11K25_4	text	P	The following fourth-character subdivisions are for use with categories K25-K28:	Sljedeće četvorocifrene šifre koristite sa kategorijama K25-K28:
7	S13M00_5	text	PP	Site of musculoskeletal involvement#The following subclassification to indicate the site of involvement is provided for optional use with appropriate categories in Chapter XIII. As local extensions or specialty adaptations may vary in the number of characters used, it is suggested that the supplementary site subclassification be placed in an identifiably separate position (e.g. in an additional box). Different sub-classifications for use with derangement of knee, dorsopathies, and biomechanical lesions not elsewhere classified are given at M23, before M40 and at M99 respectively.	Lokalizacija koja zahvata mišićno koštani sistem#Ova potklasifikacija je namijenjena označavanju zahvaćene lokalizacije, a njena primjena uz prikladne kategorije iz Poglavlja XIII nije obavezna. Obzirom da se lokalna proširenja ili posebna prilagođavanja mogu razlikovati u broju upotrijebljenih znakova, predlaže se da se potklasifikacija dodatnog mjesta stavi na zasebno i prepoznatljivo mjesto (npr. u dodatnu „kućicu“). Razne potklasifikacije koje se koriste za poremećaje koljena, dorzopatije i biomehaničke lezije koje nijesu klasifikovane na drugom mjestu, klasifikovane su kao M23, ispred M40 i kao M99.
8	S13M23_5	text	P	The following supplementary subclassification to indicate the site of involvement is provided for optional use with appropriate subcategories in M23.-; see also note at the beginning of this chapter.	Možete upotrijebiti odgovarajuću potkategoriju klasifikovanu kao M23.- za označavanje zahvaćene lokalizacije na koju se odnosi ova dodatna potklasifikacija; vidi takođe napomenu na početku ovog poglavlja.
9	S13M40_5	text	P	The following supplementary subclassification to indicate the site of involvement is provided for optional use with appropriate categories in the block on dorsopathies, except categories M50 and M51; see also note at the beginning of this chapter.	Možete upotrijebiti odgovarajuće kategorije u poglavlju o dorzopatijama, izuzev kategorija M50 i M51 za označavanje zahvaćene lokalizacije, na koju se odnosi ova dodatna potklasifikacija; vidi takođe napomenu na početku ovog poglavlja.
10	S13M99_5	text	P	The following supplementary subclassification to indicate the site of lesions is provided for optional use with appropriate subcategories in M99.-; see also note at the beginning of this chapter.	Možete upotrijebiti odgovarajuće potkategorije klasifikovane kao M99.- za označavanje lokalizacije lezija na koje se odnosi ova dodatna potklasifikacija; vidi takođe napomenu na početku ovog poglavlja.
11	S14N00_4	text	P	The following fourth-character subdivisions classify morphological changes and are for use with categories N00-N07. Subdivisions .0-.8 should not normally be used unless these have been specifically identified (e.g. by renal biopsy or autopsy). The three-character categories relate to clinical syndromes.	Sljedeće četvorocifrene šifre klasifikuju morfološke promjene i koriste se sa kategorijama N00-N07. Podjele .0-.8 ne treba koristiti sve dok se specifično ne identifikuju (npr. biopsijom bubrega ili autopsijom). Trocifrene šifre se odnose na kliničke sindrome.
12	S15O03_4	text	P	The following fourth-character subdivisions are for use with categories O03-O06:	Sljedeće četvorocifrene šifre koristite sa kategorijama O03-O06:
13	S15O03_4	note	P	Incomplete abortion includes retained products of conception following abortion.	Nepotpun pobačaj sa zaostalim djelovima ploda poslije pobačaja.
14	S18R83_4	text	P	The following fourth-character subdivisions are for use with categories R83-R89:	Sljedeće četvorocifrene šifre koristite sa kategorijama R83-R89:
15	S19S02_5	text	P	The following subdivisions are provided for optional use in a supplementary character position where it is not possible or not desired to use multiple coding to identify fracture and open wound; a fracture not indicated as closed or open should be classified as closed.	Sljedeće potklasifikacije dodatnim karakterom u šifri, opciono se mogu upotrijebiti u slučaju kada nije moguće ili poželjno višestruko šifriranje za označavanje preloma i otvorene rane; ako prelom nije označen kao zatvoren ili otvoren, treba ga klasifikovati kao zatvoren.
16	S19S06_5	text	P	The following subdivisions are provided for optional use in a supplementary character position where it is not possible or not desired to use multiple coding to identify intracranial injury and open wound:	Sljedeće potklasifikacije dodatnim karakterom u šifri, opciono se mogu upotrijebiti u slučaju kada nije moguće ili poželjno višestruko šifriranje za označavanje intrakranijalne povrede i otvorene rane:
17	S19S12_5	text	P	The following subdivisions are provided for optional use in a supplementary character position where it is not possible or not desired to use multiple coding to identify fracture and open wound; a fracture not indicated as closed or open should be classified as closed.	Sljedeće potklasifikacije dodatnim karakterom u šifri, opciono se mogu upotrijebiti u slučaju kada nije moguće ili poželjno višestruko šifriranje za označavanje preloma i otvorene rane; ako prelom nije označen kao zatvoren ili otvoren, treba ga klasifikovati kao zatvoren.
18	S19S22_5	text	P	The following subdivisions are provided for optional use in a supplementary character position where it is not possible or not desired to use multiple coding to identify fracture and open wound; a fracture not indicated as closed or open should be classified as closed.	Sljedeće potklasifikacije dodatnim karakterom u šifri, opciono se mogu upotrijebiti u slučaju kada nije moguće ili poželjno višestruko šifriranje za označavanje preloma i otvorene rane; ako prelom nije označen kao zatvoren ili otvoren, treba ga klasifikovati kao zatvoren.
19	S19S26_5	text	P	The following subdivisions are provided for optional use in a supplementary character position where it is not possible or not desired to use multiple coding:	Sljedeće potklasifikacije dodatnim karakterom u šifri, opciono se mogu upotrijebiti u slučaju kada nije moguće ili poželjno višestruko šifriranje:
20	S19S27_5	text	P	The following subdivisions are provided for optional use in a supplementary character position where it is not possible or not desired to use multiple coding:	Sljedeće potklasifikacije dodatnim karakterom u šifri, opciono se mogu upotrijebiti u slučaju kada nije moguće ili poželjno višestruko šifriranje:
21	S19S32_5	text	P	The following subdivisions are provided for optional use in a supplementary character position where it is not possible or not desired to use multiple coding to identify fracture and open wound; a fracture not indicated as closed or open should be classified as closed.	Sljedeće potklasifikacije dodatnim karakterom u šifri, opciono se mogu upotrijebiti u slučaju kada nije moguće ili poželjno višestruko šifriranje za označavanje preloma i otvorene rane; ako prelom nije označen kao zatvoren ili otvoren, treba ga klasifikovati kao zatvoren.
